코드 번호,회사명,업종 (대),업종 (소),코스피 코스닥,주가 (원),시가총액 (억),상장주식수 (만주),자사주 (만주),자사주 비중 (%),주식수 증가율 (%),1일 등락률 (%),5일 등락률 (%),1개월 등락률 (%),3개월 등락률 (%),6개월 등락률 (%),9개월 등락률 (%),1년 등락률 (%),3년 등락률 (%),과거 GP/A (%),과거 GPM (%),분기 GPM (%),5년평균 OPM,발표 OPM (%),발표 분기 OPM (%),올해 OPM (%),발표 NPM (%),발표 분기 NPM (%),5년평균 ROE,발표 ROE (%),1년후 ROE (%),과거 ROA (%),1년후 ROA (%),과거 PCR,과거 PFCR,과거 PSR,발표 PSR,1년후PEG,PER  곱하기PBR,고점 PBR,저점 PBR,5년평균 PBR,발표 PBR,1년후 PBR,5년평균 PER,자사주반영 PER,과거 PER,발표 PER,발표 분기 PER,올해 PER,1년후 PER,과거 EV/EBITDA (%),과거 POR,발표 POR,청산가치비율 (NCAV전략) (%),당좌 비율 (%),유동 비율 (%),단순 부채비율 (%),보수적 부채비율 (%),차입금 비율 (%),배당 성향 (%),시가 배당률 (%),DPS  성장률 (%),시가 배당률 고점,시가 배당률 저점,국채시가 배당률,주가 변동성,베타 (52주),부채 (억),자본 (억),유동자산 (억),재고자산 (억),투자자산 (억),지분투자 (억),총자산 (억),매출액 (억),영업이익 (억),순이익(지배) (억),EBITDA (억),매출총이익 (억),영업활동현금흐름 (억),투자활동현금흐름 (억),재무활동현금흐름 (억),설비투자 (억),DPS (원),거래대금 (당일 억),거래대금 (5일평균 억),거래대금 (20일평균 억),거래대금 증가율(5일대비),거래대금 증가율(20일대비),1개월전 주가,3개월전 주가,6개월전 주가,9개월전 주가,1년전 주가,52주 신고가,52주 신저가,주가>5이평,주가>20이평,주가>60이평,주가>120이평,신고가율 (%),신저가율 (%),당일 기관(%),당일 외인(%),당일 수급(%),주간 기관(%),주간 외인(%),주간 수급(%),1개월 기관(%),1개월 외인(%),1개월 수급(%),3개월 기관(%),3개월 외인(%),3개월 수급(%),6개월 기관(%),6개월 외인(%),6개월 수급(%),고점대비 PBR괴리율,저점대비 PBR괴리율,이익의 변동성,예상가 괴리율 (%),목표가  괴리율 (%),예상가 매력등수,목표가 매력등수,본사 국내 =1,지주사 =1,금융 =1,스팩 =1,관리 종목 =1,예상 주가 (원),목표 주가 (원),20년 3Q 호실적 100기업,20년4Q 호실적예상 100기업,4Q 발표 =1,마지막 리포트일,실적 발표일,20/4Q 매출액 컨센대비,20/4Q 영업이익 컨센대비,20/4Q 순이익 컨센대비,20/3Q 매출액 컨센대비,20/3Q 영업이익 컨센대비,20/3Q 순이익 컨센대비,1주일 어닝스,1달 어닝스,3개월  어닝스,6개월  어닝스,9개월  어닝스,12개월  어닝스,어닝스 점수,발표OPM증가율(최근분기),발표NPM증가율(최근분기),발표ROE증가율 (최근분기),자산증가율 (최근분기),발표자본증가율 (최근분기),자본증가율 (1년후),매출채권 회수기간,재고자산 회수기간,단순 FCFF (잉여현금흐름),F스코어 지배주주순익>0 여부,F스코어 영업활동현금흐름>0 여부,F스코어 ROA증가 여부,F스코어 영현>순익 여부,F스코어 부채비율감소 여부,F스코어 유동비율증가 여부,F스코어 신주발행X 여부,F스코어 매출총이익률증가 여부,F스코어 총자산회전율증가 여부,F스코어 점수 (9점만점),매출액 16년->19년 3년간 YOY,매출액 연환산 YOY,매출액 17년 YOY,매출액 18년 YOY,매출액 19년 YOY,매출액 20년(E)  YOY,매출액 21년(E)  YOY,매출액 19년4Q YOY,매출액 20년1Q YOY,매출액 20년2Q YOY,매출액 20년3Q YOY,매출액 20년4Q(E) YOY,매출액 21년1Q(E) YOY,매출액 19년4Q QOQ,매출액 20년1Q QOQ,매출액 20년2Q QOQ,매출액 20년3Q QOQ,매출액 20년4Q(E) QOQ,매출액 21년1Q(E) QOQ,영업이익 16년->19년 3년간 YOY,영업이익 연환산 YOY,영업이익 17년 YOY,영업이익 18년 YOY,영업이익 19년 YOY,영업이익 20년(E)  YOY,영업이익 21년(E)  YOY,영업이익 19년4Q YOY,영업이익 20년1Q YOY,영업이익 20년2Q YOY,영업이익 20년3Q YOY,영업이익 20년4Q(E) YOY,영업이익 21년1Q(E) YOY,영업이익 19년4Q QOQ,영업이익 20년1Q QOQ,영업이익 20년2Q QOQ,영업이익 20년3Q QOQ,영업이익 20년4Q(E) QOQ,영업이익 21년1Q(E) QOQ,순이익 16년->19년 3년간 YOY,순이익 연환산 YOY,순이익 17년 YOY,순이익 18년 YOY,순이익 19년 YOY,순이익 20년(E)  YOY,순이익 21년(E)  YOY,순이익 19년4Q YOY,순이익 20년1Q YOY,순이익 20년2Q YOY,순이익 20년3Q YOY,순이익 20년4Q(E) YOY,순이익 21년1Q(E) YOY,순이익 19년4Q QOQ,순이익 20년1Q QOQ,순이익 20년2Q QOQ,순이익 20년3Q QOQ,순이익 20년4Q(E) QOQ,순이익 21년1Q(E) QOQ,16년 매출액,16년 영업이익,16년 순이익,17년 매출액,17년 영업이익,17년 순이익,18년 매출액,18년 영업이익,18년 순이익,19년 매출액,19년 영업이익,19년 순이익,20년(E) 매출액,20년(E) 영업이익,20년(E) 순이익,21년(E) 매출액,21년(E) 영업이익,21년(E) 순이익,매출액 18년 4Q,매출액 19년 1Q,매출액 19년 2Q,매출액 19년 3Q,매출액 19년 4Q,매출액 20년 1Q,매출액 20년 2Q,매출액 20년 3Q,매출액 20년 4Q(E),매출액 21년 1Q(E),영업이익 18년 4Q,영업이익 19년 1Q,영업이익 19년 2Q,영업이익 19년 3Q,영업이익 19년 4Q,영업이익 20년 1Q,영업이익 20년 2Q,영업이익 20년 3Q,영업이익 20년 4Q(E),영업이익 21년 1Q(E),순이익 18년 4Q,순이익 19년 1Q,순이익 19년 2Q,순이익 19년 3Q,순이익 19년 4Q,순이익 20년 1Q,순이익 20년 2Q,순이익 20년 3Q,순이익 20년 4Q(E),순이익 21년 1Q(E),발표치 20년4Q  매출액,발표치 20년4Q  영업이익,발표치 20년4Q  순이익,컨센서스 20년4Q  매출액,컨센서스 20년4Q  영업이익,컨센서스 20년4Q  순이익,
A005930,삼성전자,반도체 관련장비 및 부품,종합 반도체,코스피,83500,4984768,596978,0,0,0,1.2,1.8,0.7,38.7,42.2,71.1,38.2,86.8,24.44,38.2,40.31,17.3,15.2,14.7,15.2,11.02,10.47,13.7,9.51,11.79,7.1,8.87,8.24,19.14,2.12,2.1,0.37,34.78,1.91,0.96,1.29,1.82,1.64,9.4,19.11,20.04,19.11,19.33,19.11,13.92,6.12,14.62,13.85,20.86,234,278.77,36,37,7,44.73,1.7,144.63,3.66,0.58,1.7,0.02153,1.00725,996526,2679421,2036349,324429,283956,79825,3675947,2368070,359939,260908,653103,899023,604896,-534156,-67384,344472,1416,14258.6,19674.1,29503.6,-27.53,-51.67,82900,60200,58700,48800,60400,91000,42500,0,0,1,1,92,96,0.02,0.01,0.02,-0.14,-0.11,-0.25,-1.08,-0.81,-1.89,-1.5,-1.17,-2.67,-1.82,-1.03,-2.85,95,190,0.27054,165,79,547,199,1,0,0,0,0,50507,105807,0,0,1,20210201,20210108,1.7,-1.3,-8,4.4,15.6,9.7,1.4,3.8,5.6,20.8,21.6,37.2,120,26.1,18.1,15.3,6.4,5.3,13.4,63,82,260424,1,1,0,1,0,0,1,1,0,5,14.1,2.8,18.7,1.8,-5.5,2.8,10.2,1,5.6,-5.6,8,2.8,9.1,-3.4,-7.6,-4.3,26.4,-8.1,-1.9,-5,29.6,83.5,9.8,-52.8,29.6,28.7,-33.7,3.4,23.5,58.8,26.3,32.8,-7.9,-10,26.4,51.6,-26.8,-5.4,-4.1,21.3,84.4,6.2,-51,21.3,33.3,-37.2,-4.3,8.4,51.8,23.3,35.4,-14.4,-6.5,12.3,68.8,-30.4,2.7,2018667,292407,224157,2395754,536450,413446,2437714,588867,438909,2304009,277685,215051,2368070,359939,260908,2609689,463380,347726,592651,523855,561271,620035,598848,553252,529661,669642,615515,603547,108006,62333,65971,77779,71603,64473,81463,123532,90470,85614,83301,51075,50645,61050,52280,48896,54890,92668,64454,66206,615515,90470,64454,605264,91663,70036,
A000660,SK하이닉스,반도체 관련장비 및 부품,종합 반도체,코스피,127500,928203,72800,4400,6,0,2,4.1,-5.2,47.4,58,50,28.4,73.7,14.48,32.5,34.98,30.4,15.71,12.13,15.71,14.91,22.18,19.3,9.1,14.05,6.87,10.65,7.98,57.8,3.01,2.91,0.15,34.75,2.37,0.94,1.33,1.78,1.58,6.9,18.35,32.34,19.52,13.13,19.52,11.25,7.37,21.67,18.52,-1.87,123,192.46,37,37,26,33.97,0.78,93.18,2.24,0,0.78,0.02703,1.1093,187681,504791,170362,61505,80164,12792,692472,319004,50126,47551,137079,100323,116363,-112807,12509,100303,1000,4407.78,5646.01,7215.24,-21.93,-38.91,134500,86500,80700,85000,99300,138000,69000,0,0,1,1,92,85,0.02,0.02,0.04,-0.04,0.04,0,-0.79,-0.25,-1.04,-1.18,0.93,-0.25,-0.77,1.75,0.98,75,189,0.99618,171,79,564,199,1,0,0,0,0,74664,162003,0,1,1,20210201,20210129,5,6.4,164.7,4.7,3.5,6.3,4.3,14.9,44.4,27.9,29.3,73.5,120,56.3,99.9,117.6,8.8,8.5,16.3,65,108,16060,1,1,0,1,0,0,1,0,0,4,56.9,18.2,75.1,34.3,-33.3,18.2,20.2,-30.3,6.3,33.4,18.9,15,9.9,1.3,3.9,19.6,-5.6,-2,-0.7,-17.2,84.8,318.8,51.9,-87,84.8,105,-94.7,-41.4,205.3,175,309.2,46.7,-50.1,239.1,143.2,-33.2,-25.7,21.6,-31.8,136.2,260.3,46,-87,136.2,63.2,-103.5,-41.2,135.8,118.4,1594.8,39.2,-124,648.4,94.8,-14.7,64,-48.9,171980,32767,29538,301094,137213,106415,404451,208438,155401,269907,27127,20133,319004,50126,47551,383487,102779,77599,99381,67727,64522,68388,69271,71989,86065,81288,79662,79085,44301,13665,6376,4726,2360,8003,19467,12997,9659,11743,33963,11028,5355,4932,-1182,6482,12629,10773,17668,9021,79662,9659,17668,75866,9079,6675,
A068270,셀트리온,제약 및 바이오,바이오,코스피,341500,470155,13767,121,0.9,0.4,0,5.4,-4.5,25.8,12.7,65.2,102.8,28.7,20.59,53.7,58.27,40,38.17,44.7,40.99,29.35,31.1,11.6,15.72,22.13,11.25,16.91,153.32,215.96,27.13,27.13,0.63,1342.86,15.48,3.38,9.35,14.53,11.31,81.8,91.59,92.42,92.42,68.86,77.63,51.12,56.09,71.07,71.07,2.49,226,269.31,38,40,16,2.14,0.01,-24.25,0.74,0.01,0.01,0.03695,0.82089,12838,32363,24527,3964,1411,394,45201,17331,6615,5087,8356,9301,3066,-2219,355,889,47,6888.65,9514.5,7328.69,-27.6,-6,357500,271525,302950,206713,168415,396241,137481,0,1,1,1,86,148,-0.05,0.03,-0.02,-0.05,0.7,0.65,-0.76,0.5,-0.26,-1.41,1.1,-0.31,-1.88,0.41,-1.47,94,430,0.4511,781,86,1072,299,1,0,0,0,0,43727,398290,0,0,0,20210128,20201109,0,0,0,17,29.5,15.4,1.1,10.7,31.9,9.9,145.6,80.8,120,22.5,17.6,72.1,22.8,19.9,28.4,267,180,2177,1,1,1,0,0,0,0,0,1,4,68.3,75.4,41.5,3.5,14.9,65,43.7,57.8,68.2,82.5,89.9,33.6,57.5,32.4,-2.6,15,28,-6.8,14.8,51.4,114.9,103.4,-33.3,11.6,101.8,43.8,159.5,55.4,118.1,137.8,88.9,87.5,10.7,5.3,51.2,34.9,-12.1,4.5,67.2,106.3,114.9,-31.6,13.7,103.5,48.8,116.1,64.2,78.9,177.8,79.6,89.3,54.6,10.5,31.6,23.6,-0.1,16.4,6706,2497,1780,9491,5078,3825,9821,3387,2618,11285,3781,2976,18616,7630,6056,26746,10971,9013,2426,2217,2350,2891,3827,3728,4288,5488,5112,5871,440,774,834,1031,1142,1202,1818,2453,2157,2255,440,639,772,614,950,1049,1381,1707,1706,1986,0,0,0,5112,2157,1706,
A051910,LG화학,화학,종합 화학,코스피,1028000,725689,7059,165,2.3,0,2.8,12.1,6.9,46.4,39.5,191.6,166,180.9,14.8,19.5,23.92,8,7.83,7.58,7.83,3.01,0.01,7.8,5.05,10.67,2.33,5.22,13.33,-196.77,2.43,2.38,0.24,315.81,3.99,0.99,1.53,3.99,3.57,20.2,77.33,86.61,79.15,14993.6,79.15,33.44,20.53,41.97,30.44,-7.33,95,137.17,113,117,60,49.02,0.19,-55.84,2.49,0.58,0.19,0.03614,1.34249,211983,181667,158782,49281,16131,2788,393650,304440,23838,9169,39154,58332,54423,-49645,10130,58111,2000,5334.99,4946.68,5203.21,7.85,2.53,962000,702000,737000,352500,386500,1028000,230000,1,1,1,1,100,347,0.04,0.17,0.21,-0.07,0.95,0.88,-0.65,0.78,0.13,-1.24,2.87,1.63,-2.07,4.75,2.68,100,403,1.14491,668,80,1044,218,1,0,0,0,0,153786,1280422,0,0,1,20210128,20210127,7,-4.1,-99.8,-7.6,23.1,1.1,-0.9,-12.8,7.6,56.2,148.6,136.7,80,150.2,176.1,175.5,18.5,6.3,11.9,66,75,-3688,1,1,1,1,0,0,1,1,0,6,38.6,6.4,24.4,9.7,1.6,5,29.2,13.4,7.5,2.3,8.8,6.7,27,20.7,-14.5,-2.5,8.2,18.4,1.7,-55,166.2,47,-23.3,-60.1,162.7,53,-93.5,-15.9,131.5,158.7,3463.5,253.8,-94.6,1151,141.8,57.8,-25.3,24.2,-75.5,192.6,51.8,-24.3,-78.7,192.6,132.8,-164.7,-89.2,461.4,298.5,101.6,2406.2,-160.5,127.1,1713.8,34,-99.8,43552.9,206593,19919,12811,256980,29285,19453,281830,22461,14726,286250,8956,3134,300575,23532,9169,388267,36008,21342,73427,66217,67784,68989,83260,71157,69352,75073,88858,90346,2896,2810,2470,3488,189,2365,5716,9021,6736,8365,1201,1945,681,1286,-778,211,3823,5123,12,5282,88858,6736,12,83007,7021,4976,
A005380,현대차,자동차 및 관련부품,완성차,코스피,249500,533102,21367,1309,6.1,0,0.4,9,21.1,43.8,46.8,164,90.5,61,8.86,17.3,18.59,4.3,2.67,5.61,2.67,1.56,4.32,5.4,2.3,7.35,0.81,2.66,40.56,-18.73,0.52,0.51,0.04,25.04,1.55,0.26,0.44,0.76,0.72,8.2,30.94,46,32.95,10.55,32.95,9.73,17.92,23.13,19.17,-151.41,67,87.39,173,190,121,35.35,1.6,27.82,3.38,0.89,1.6,0.03444,1.35403,1312461,690531,505307,116322,499316,200026,2002992,1039976,27813,16177,64088,177933,13145,-84354,105664,41609,4000,3793.38,4752.01,9512.82,-20.17,-60.12,206000,173500,170000,94500,131000,267500,65900,1,0,1,1,93,279,0,0.05,0.05,-0.08,0.18,0.11,-1.74,-0.25,-1.99,-2.56,0.56,-2,-3.54,-1.22,-4.76,49,292,1.14567,284,81,802,233,1,0,0,0,0,87955,309626,0,0,1,20210202,20210126,0.2,-5.2,-11.1,1,-215,-247.3,0.6,-0.6,16.2,50.8,76.4,238.8,80,-21.7,-44.7,-45.5,8,-0.5,7.9,11,50,-28464,1,1,0,1,0,1,1,1,0,6,12.9,-1.7,2.9,0.5,9.2,-1.7,11.7,10.3,5.6,-18.9,2.3,5.1,7.3,3.2,-9,-13.7,26.2,6,-7.1,-30.6,-22.9,-11.9,-47.1,48.9,-22.9,141.2,132.4,4.7,-52.3,-182.9,40.9,77,207.6,-25.8,-31.7,-153.2,622.9,-6.8,-44.9,-45.7,-25.4,-62.6,97.6,-45.7,232.8,719.8,-44.1,-75.3,-178.7,57,154.8,88.4,-42.4,-50.9,-247.8,475.8,-6.5,936490,51935,54064,963761,45747,40328,968126,24222,15081,1057464,36055,29800,1039976,27813,16177,1161337,67095,53837,252305,239871,269664,269689,278241,253194,218590,275758,292434,271765,5011,8249,12377,3785,11644,8638,5903,-3138,16410,15291,-1298,8295,9193,4269,8044,4633,2274,-3361,12631,11805,292434,16410,12631,291770,17311,14208,
A017670,SK텔레콤,통신,통신서비스,코스피,258500,208728,8075,971,12,0,4.7,5.9,-4.3,13.9,6.8,24.9,13.1,7.7,39.44,100,100,8,7.24,6.74,7.24,5.89,8.18,10.2,4.61,7.49,2.38,4.01,3.68,11.02,1.15,1.12,0.14,16.76,1.67,0.63,1.02,0.88,0.81,9.9,16.75,19.04,19.04,13.49,16.56,10.84,5.63,17.61,15.47,-63.74,115,117.69,92,94,50,82.04,3.87,2.91,6.64,3.71,3.87,0.01922,0.60969,223355,237938,90321,2160,175359,141012,461293,186247,13493,10965,52998,181946,56735,-45884,-4889,37797,10000,1899.63,1214.08,1272.09,56.47,49.33,270000,227000,242000,207000,228500,270000,165500,1,1,1,1,96,56,0.12,0.25,0.37,-0.11,0.31,0.2,-1.23,1.02,-0.21,-0.95,1.23,0.28,-1.54,1.09,-0.45,53,140,0.50199,161,78,533,181,1,0,0,0,0,160736,329457,0,0,1,20210204,20210203,1.5,27.5,0,0.6,0.1,-4.4,2.3,1.1,2.9,7.4,24.1,75.6,100,15.7,-25.7,-25.2,4.7,4.6,8.1,47,1000,18938,1,1,0,1,1,1,1,0,0,6,3.8,5,2.5,-3.7,5.2,5,5.3,1.4,2.7,3.7,3.7,9.8,7.3,-3.3,0.9,3.4,2.8,2.3,-1.3,-27.7,21.6,0.1,-21.8,-7.6,21.6,9,-27.9,-6.4,11.4,19.7,100.8,15.3,-46.2,85.9,19,0.6,-9.8,6.7,-46.9,-21.8,55.1,20.3,-71.5,41.7,50.4,-105.6,-18.4,62.2,41,0,17.6,-109.9,1243.6,38.1,-9.4,0,222.4,170918,15357,16760,175200,15366,25998,168740,12018,31279,177437,11100,8899,186247,13493,12606,196045,14711,18957,43517,43349,44370,45612,44106,44504,46028,47308,48406,47760,2253,3226,3228,3021,1625,3020,3595,3615,3263,3481,4849,3792,2634,2744,-271,3094,4272,3869,1129,3640,48406,3263,0,47671,2559,1129,
A207940,삼성바이오로직스,제약 및 바이오,바이오,코스피,812000,537260,6617,0,0,0,-0.1,2.4,-0.9,8,-1,38.1,56.5,102.7,6.72,37.4,31.57,8.3,25.14,24.67,25.14,20.69,25.64,1,5.24,7.67,3.93,5.74,119.72,159.28,48.72,46.12,2.61,2606.05,11.69,2.45,6.37,11.69,11.03,443.5,222.93,143.05,222.93,139.59,222.95,143.69,119.49,174.91,183.49,-0.13,162,250.71,36,36,14,0,0,0,0,0,0,0.02984,0.85033,16384,44988,15691,5558,28745,26439,61372,11648,2928,2410,4472,4119,4489,-2908,-1189,1116,0,541.93,904.08,1675,-40.06,-67.65,819000,752000,820000,588000,519000,880000,366000,0,0,1,1,92,122,0,0.01,0.01,0.03,0.09,0.12,0.07,0.23,0.3,0.3,0.49,0.79,0.27,0.31,0.58,100,477,1.49333,1926,81,1166,233,1,0,0,0,0,42156,1001153,0,0,1,20210127,20210126,27.2,33.4,55.2,9.7,-8.7,-23.5,0.4,8.2,10.4,18.9,27.4,55.1,100,92.2,-28.5,13.1,6.1,5,8.3,29,294,3373,1,1,1,1,1,1,1,1,1,9,138.2,66,57.7,15.3,30.9,66,24.3,75.8,65.3,294.1,48.6,19.8,45.9,69.5,-33.9,48.5,-10.8,36.7,-19.5,401.6,219.2,317.1,-15.6,64.6,219.3,47.2,830.1,367.5,625.6,139.5,-13.4,37.4,353,-41.5,29.6,-30.3,63.8,-7.1,214.8,18.8,45.1,331,-9.5,18.8,48.3,-27.2,199.5,518.2,162.5,-58.3,98.9,980.5,-84.1,41.9,7.8,71.6,-24.2,2946,-304,-1768,4646,660,-970,5358,557,2241,7016,917,2029,11648,2928,2410,14474,4310,3573,1783,1254,781,1848,3133,2072,3077,2746,3753,3023,115,-234,-154,236,1070,626,811,565,926,860,3173,-368,-124,214,2308,367,520,561,962,729,3753,926,962,2950,694,620,
A005490,POSCO,철강 및 비철강,제철,코스피,263000,229301,8719,1117,12.8,0,-0.6,7.1,-9.6,11,27.7,46.1,17.9,-25.3,5.65,7.6,8.46,6.3,4.16,5.66,4.16,2.77,4.59,3.7,3.55,5.69,2.03,3.29,2.85,4.62,0.39,0.4,0.13,7.3,1.19,0.32,0.5,0.51,0.49,13.4,12.48,24.09,14.31,8.18,14.31,8.55,5.11,10.93,9.54,17.22,159,207.74,72,77,51,43.66,3.8,16.44,4.8,2.05,3.8,0.02473,0.95807,343008,444368,382489,90207,92688,40011,787376,577928,24030,16021,56578,44615,80514,-66602,25769,30894,10000,621.99,932.93,1176.36,-33.33,-47.13,291000,237000,206000,180000,223000,294500,138000,1,0,1,1,89,91,0.01,0,0.01,-0.21,0.47,0.25,-1.67,0.49,-1.18,-1.24,0.47,-0.77,1.06,-0.68,0.38,43,159,2.17268,123,75,394,124,1,0,0,0,0,214090,350448,0,0,1,20210201,20210128,1,1.4,34.6,-0.7,32.9,60,-2.7,4.7,32.6,77.4,63.7,67.4,100,-30.8,-2.8,-13.3,3.3,0.7,6,51,61,49620,1,1,1,1,0,1,1,0,0,6,21.3,-10.2,14.3,7.1,-0.9,-10.2,8.4,-3.5,-9.2,-15.9,-10.8,-4.9,4.9,0.3,-9.3,-5.7,3.9,7,-0.1,36,-37.9,62.5,19.9,-30.2,-37.9,75.7,-56.1,-41.4,-84.3,-35.9,54.8,56.5,-46.4,26.5,-76.2,297.5,29.5,27.9,34.6,-12.7,104.7,-39.4,8.5,-12.7,66.2,105.8,-46.7,-93.4,8,1283.3,70.7,-88.2,680.3,-89.8,1055.5,50.6,-3.7,530835,28443,13633,606551,46218,27901,649778,55426,16906,643668,38689,18351,577928,24030,16021,626320,42211,26623,166215,160142,163213,159882,160430,145458,137216,142612,152642,152537,12715,12029,10686,10398,5576,7053,1677,6667,8633,11038,-8674,7413,6123,4309,507,3954,403,4655,7010,6751,152642,8633,7010,151152,8512,5206,
A015760,한국전력,유틸리티,전력,코스피,23550,151183,64196,0,0,0,-0.4,3.1,-12.9,13.8,9.3,5.4,-8,-31.5,2.14,7.3,18.97,8.1,2.66,14.84,6.08,0.16,7.87,4.2,0.13,0.77,0.05,0.26,1.34,-4.8,0.26,0.26,0.06,35.93,0.59,0.18,0.34,0.22,0.22,8,163.26,163.32,163.32,3.06,8.18,28.48,6.42,9.66,9.66,-731.82,60,90.05,188,192,107,0,0,-100,7.26,0,0,0.02523,0.67985,1316418,687358,210037,69199,129475,61392,2003776,588183,15653,926,131411,42744,112937,-150748,38505,144429,0,495.77,800.76,1194.31,-38.09,-58.49,27050,20700,21550,22350,25600,28300,16250,1,0,0,1,83,45,-0.03,-0.04,-0.08,-0.33,-0.07,-0.4,-1.96,-0.22,-2.18,-1.55,0.16,-1.39,-1.38,-0.78,-2.16,37,122,-3.72418,1430,65,1147,22,1,0,0,0,0,1647,36165,0,0,0,20210120,20201112,0,0,0,0.6,0.1,2.6,4.4,-66.1,-63.7,-63,-57.8,473.3,40,432.5,105.2,104.9,4.1,0.2,0.8,41,46,-31492,1,1,1,1,0,1,1,1,0,7,-1.7,-1,-0.6,1.4,-2.4,-1.2,-0.7,-1.5,-1,0,-1.3,-2.2,-0.9,-6.1,1,-13.4,20.2,-7,2.4,-110.6,427.6,-58.7,-104.2,-513.7,378.7,-50.5,-101.3,168.4,230.5,88.2,125.5,218.6,-228.1,127.1,-9.5,498.3,-82.6,238.4,-133.3,105.1,-81.6,-201.2,-78.4,178.8,-76.9,-67.3,102.9,137.1,454.9,129.5,4377,-698.3,101.7,623.3,643.8,-68.1,161.2,601904,120016,70486,598149,49532,12987,606276,-2080,-13146,591729,-12765,-23455,584840,35579,18477,580848,17611,4260,151746,152484,130710,159123,149412,150931,130725,157114,146068,149552,-7885,-6299,-2987,12393,-15872,4306,3898,23322,4053,13717,-7967,-7878,-4475,2228,-13330,230,1662,12363,3938,10288,0,0,0,146068,4053,3938,
A028260,삼성물산,지주사,지주사,코스피,134500,251363,18689,2342,12.5,-1.5,0.8,3.5,-7.2,15.5,6.3,27.5,17,5.5,8.18,12.1,10.17,2.1,2.84,3.13,2.84,3.43,2.87,6.1,4.21,4.8,2.36,2.72,18.75,23.08,0.85,0.83,1.09,24.76,4.79,0.76,1.15,1.02,0.98,19.3,21.24,22.15,24.27,26.8,24.27,20.44,17.37,27.16,29.33,-26.78,97,114.84,72,80,16,31.42,1.49,180.99,1.9,0,1.49,0.02884,1.1162,195821,243843,128511,20026,281601,37108,439664,302161,8571,10355,14725,36076,13403,-3622,-3255,2514,2000,585.45,1099.83,1850.94,-46.77,-68.37,145000,116500,126500,105500,115000,153500,74500,1,0,1,1,88,81,0.01,0.01,0.01,-0.1,-0.03,-0.13,-1.37,0.16,-1.21,-0.95,0.81,-0.14,-1.09,0.34,-0.75,21,134,0.47777,248,72,740,86,1,1,0,0,0,54267,186809,0,0,1,20210202,20210127,-0.2,1.7,-5.5,3.3,-11.7,1.4,2.6,2.2,-1.3,-1.8,1.9,18.8,60,0.7,0.6,-9.5,7.9,9,5,60,28,10889,1,1,0,1,1,1,1,1,0,7,9.5,-1.8,4.2,6.4,-1.3,-1.8,1.7,-3.4,-5.4,-9.4,1.5,6.3,5.3,-0.5,-9.6,3.8,8.7,4.2,-10.5,521.4,-1.1,531.8,25.3,-21.5,-1.1,27.5,33.7,39.8,7.9,-0.4,-21,38.9,50.1,-54.7,61.9,-9.5,19,-20.4,877.7,-1.4,495.7,167.7,-38.7,-1.4,17.5,-49.9,29.3,-14.2,17.3,-29.7,3.7,34.9,-3.4,-41.5,53.8,-19.2,42.7,281027,1395,1074,292790,8813,6398,311556,11039,17128,307615,8668,10501,302161,8571,10355,307149,10929,12168,79711,73571,79720,77346,76979,69601,72234,78503,81823,73266,2428,1052,2207,2163,3247,1470,2381,2155,2564,2042,6660,2493,2198,2473,3337,3224,1886,2900,2344,3345,81823,2564,2344,82004,2522,2480,
