date,code,totalCnt,forignerHaveLimit,forignerHaveCnt,min52week,max52week,per,eps,per_eps_date,estimate_per,estimate_eps,pbr,bps,pbr_bps_date,dvr
2021.02.26 기준(장마감),005930,5969782550,5969782550,3278759165,96800,42300,21.48,3841,2020.12,16.00,5053,2.09,39406,2020.12,3.63
2021.02.26 기준(장마감),002380,8886471,8886471,1053064,226500,106000,0,-315,2020.09,0,0,0.37,542803,2020.09,2.86
2021.02.26 기준(장마감),294870,65907330,65907330,6859579,32250,12000,6.65,4030,2020.09,5.00,5633,0.66,40352,2020.09,2.24
2021.02.26 기준(장마감),017800,40815191,40815191,11103634,52800,24208,19.30,2233,2020.09,13.00,3324,1.78,24203,2020.09,0
2021.02.26 기준(장마감),005250,47028210,47028210,2746827,56300,14600,35.07,1058,2020.09,0,0,2.13,17448,2020.09,1.35
2021.02.26 기준(장마감),010120,30000000,30000000,4096775,79200,25550,22.16,2595,2020.09,14.00,4162,1.21,47563,2020.09,1.91
2021.02.26 기준(장마감),042670,216185809,216185809,13094372,10550,2500,10.14,775,2020.09,7.00,1149,0.67,11650,2020.09,0
2021.02.26 기준(장마감),004800,21071025,21071025,1872490,95000,48800,0,-2133,2020.09,0,0,0.71,112329,2020.09,6.24
2021.02.26 기준(장마감),004370,6082642,6082642,1013529,401500,233000,12.34,22289,2020.09,14.00,19395,0.78,351889,2020.09,1.46
2021.02.26 기준(장마감),010780,30892606,30892606,1607766,59300,15550,12.95,4148,2020.09,9.00,6028,1.39,38578,2020.09,0
2021.02.26 기준(장마감),000240,93020173,93020173,8442549,23400,7400,14.40,1198,2020.09,13.00,1374,0.47,36684,2020.09,2.03
2021.02.26 기준(장마감),069620,11586575,11586575,529598,286500,63200,0,-143,2020.09,0,0,2.75,49193,2020.09,0
2021.02.26 기준(장마감),112610,21085715,21085715,1919295,108000,7710,50.49,1434,2020.09,34.00,2106,5.57,13002,2020.09,0.65
